krs,status_code,error,name_discovery,source_codes
0000013715,204,not_found_or_deregistered,PLAN CONSULT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000013853,204,not_found_or_deregistered,"""AMB"" BABST SPÓŁKA JAWNA",16.10.Z:main
0000014308,204,not_found_or_deregistered,BIURO HANDLOWE DRZWI-TESSA SPÓŁKA JAWNA,16.10.Z:main
0000014402,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE ""ZACISZE"" GŁĘBOCKI PALACZ SPÓŁKA JAWNA",16.10.Z:main
0000015213,204,not_found_or_deregistered,"""ELEKTROMECHANIKA""SPÓŁKA JAWNA LESZEK I WOJCIECH SUDENIS",16.10.Z:main
0000015392,204,not_found_or_deregistered,"""TIP-HOLZ POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000015401,204,not_found_or_deregistered,"""PAGED"" SPÓŁKA AKCYJNA",16.10.Z:main
0000015452,204,not_found_or_deregistered,STEINHOFF NOVA  SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000016126,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""AGTEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W ZAMOŚCIU",16.10.Z:main
0000017066,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO REMONTÓW I BUDOWNICTWA OGÓLNEGO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ, W SUWAŁKACH",16.10.Z:main
0000017231,204,not_found_or_deregistered,VDV OKUCIA BUDOWLANE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000017925,204,not_found_or_deregistered,"HUTA ""ZAWIERCIE"" SPÓŁKA AKCYJNA",16.10.Z:main
0000018117,204,not_found_or_deregistered,SZERWAL 2000 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000018288,204,not_found_or_deregistered,"""ACODE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000019212,204,not_found_or_deregistered,SHANG-HAI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000019528,204,not_found_or_deregistered,"P.P.H. ""JANDAR""  D. ŁATA I I. ŁATA SPÓŁKA JAWNA",16.10.Z:main
0000019658,204,not_found_or_deregistered,STOWARZYSZENIE EMAUS W LUBLINIE,16.10.Z:main
0000020523,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO ""TECHNOBUD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000020569,204,not_found_or_deregistered,"""PIONKI-MEBLE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚĆIĄ",16.10.Z:main
0000020854,204,not_found_or_deregistered,"""LUBA' FIRMA HANDLOWA W.BIELA, J.MAŁECKI   SPÓŁKA JAWNA",16.10.Z:main
0000021278,204,not_found_or_deregistered,"SPÓŁDZIELNIA INWALIDÓW ""PRZYSZŁOŚĆ""",16.10.Z:main
0000021395,204,not_found_or_deregistered,"""ZIELONA PLATFORMA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000021923,204,not_found_or_deregistered,"""PORTA STYL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000022309,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO PRODUKCJI HANDLU I USŁUG ""ŁAN"" SPÓŁKA Z  OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000022479,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWO-HANDLOWE  ""DOMEL""  ZBIGNIEW & JACEK & TOMASZ DOBIEŃ  SPÓŁKA JAWNA W KĘPNIE UL.SŁONECZNA 6",16.10.Z:main
0000023695,204,not_found_or_deregistered,STOLARKA WOŁOMIN SPÓŁKA AKCYJNA,16.10.Z:main
0000023876,204,not_found_or_deregistered,"""ESPO"" EWA POWAŁA TADEUSZ OMASTA SŁAWOMIR POWAŁA SPÓŁKA JAWNA",16.10.Z:main
0000024147,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""DEREM""
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000024211,204,not_found_or_deregistered,"""ELEKTROCIEPŁOWNIA MARCEL-REMONT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000024324,204,not_found_or_deregistered,UNIBUD PODLASKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000024353,204,not_found_or_deregistered,"""TARTAK"" KAZIMIERZ USTASZEWSKI, JADWIGA USTASZEWSKA SPÓŁKA JAWNA",16.10.Z:main
