krs,name_discovery,nip_discovery,regon_discovery,city_discovery,status_discovery,discovery_sources
0000096241,""" GASTRONOM - MIKUŁA "" SPÓŁKA JAWNA",,,,ACTIVE,16.10.Z:main
0000096241,""" GASTRONOM - MIKUŁA "" SPÓŁKA JAWNA",,,,ACTIVE,16.10.Z:main
0000391530,"""24/7"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000420412,"""2L"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000164987,"""2N-EVERPOL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000422945,"""3D BTL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",,,,ACTIVE,16.10.Z:main
0000283609,"""3ELEMENTS KUSTRA LASKOWSKI"" SPÓŁKA JAWNA",,,,ACTIVE,16.10.Z:main
0000283609,"""3ELEMENTS KUSTRA LASKOWSKI"" SPÓŁKA JAWNA",,,,ACTIVE,16.10.Z:main
0000418479,"""3MAY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000405378,"""4 KOLORY IDEA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"" SPÓŁKA KOMANDYTOWO-AKCYJNA",,,,ACTIVE,16.10.Z:main
0000344296,"""4 LITERY.PL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000515312,"""4IQ GROUP"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000264348,"""A & M PARTNERS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000355005,"""A & T ENERGIA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000339494,"""A&P"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000349663,"""A. KARBOWNIK LOGISTICS"" SPÓŁKA JAWNA",,,,ACTIVE,16.10.Z:main
0000206938,"""A.HAK"" PRZEDSIĘBIORSTWO INŻYNIERYJNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000137359,"""AB BECHCICKI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
0000089763,"""AB"" DOROSZ, UŚCIŃSKI SPÓŁKA JAWNA",,,,ACTIVE,16.10.Z:main
0000432880,"""AB3K ENERGY D"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",,,,ACTIVE,16.10.Z:main
